application_number,filing_date,invention_subject_matter,application_type,examiner_name_last,examiner_name_first,examiner_name_middle,examiner_id,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,customer_number,atty_docket_number,appl_status_code,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,abandon_date,disposal_type,invention_title,small_entity_indicator,aia_first_to_file
PCT/US99/29119,1999-12-09,?,PCT,None,None,None,,5331,000,000000,,None,1696.004PC01,218,04feb2000 18:47:46,9200,2006-03-27,,,200034236,2000-06-15,,,,PEND,"REVERSIBLE AQUEOUS PH SENSITIVE LIPIDIZING REAGENTS, COMPOSITIONS AND METHOD OF USE",0,0
PCT/US99/29120,1999-12-09,?,PCT,None,None,None,,5331,000,000000,,None,0609.471PC02,218,11feb2000 18:47:41,9200,2006-03-27,,,200034497,2000-06-15,,,,PEND,ENHANCED PACKAGING OF HERPES VIRUS AMPLICONS AND GENERATION OF RECOMBINANT VIRUS VECTORS,0,0
PCT/US99/29121,1999-12-08,?,PCT,None,None,None,,5331,000,000000,,None,CARV-114810,218,12jan2000 18:47:37,9200,2006-03-27,,,200143276,2001-06-14,,,,PEND,AUDIO AMPLIFIER WITH TRACKING POWER SUPPLY UTILIZING INDUCTIVE POWER CONVERTERS,0,0
PCT/US99/29122,1999-12-08,?,PCT,None,None,None,,5331,000,000000,,None,15280-347-1P,218,12jan2000 18:47:32,9200,2006-03-27,,,200034757,2000-06-15,,,,PEND,DESIGNS FOR NON-CONTACT LASER CAPTURE MICRODISSECTION,0,0
PCT/US99/29123,1999-12-08,?,PCT,MARTIN,JILL,D,62981,1632,424,093210,,None,PDLI-001WO,256,10nov2001 00:00:00,9200,2006-03-27,,,200034459,2000-06-15,,,,PEND,ANIMAL MODEL FOR PSORIASIS FOR THE PREVENTION AND TREATMENT OF PSORIASIS IN HUMANS,0,0
PCT/US99/29124,1999-12-08,?,PCT,GERRITY,STEPHEN,FRANCIS,84792,3721,053,433000,,None,D-42396-01-W,256,10nov2001 00:00:00,9200,2006-03-27,,,200038992,2000-07-06,,,,PEND,MODIFIED ATMOSPHERE PACKAGE FOR HIGH PROFILE PRODUCTS FROM UPWARDLY FORMED HEAT SHRINKABLE FILM,0,0
PCT/US99/29125,1999-12-08,?,PCT,None,None,None,,5331,000,000000,,None,22965-6090PC,218,11jan2000 18:47:07,9200,2006-03-27,,,200040286,2000-07-13,,,,PEND,VAPOR DEPOSITION COATED INTRACORPOREAL DEVICE,0,0
PCT/US99/29126,1999-12-08,?,PCT,None,None,None,,5331,000,000000,,None,26684-5020PC,218,04jan2000 18:47:02,9200,2006-03-27,,,200033743,2000-06-15,,,,PEND,TISSUE SPECIMEN ENCAPSULATION DEVICE AND METHOD THEREOF,0,0
PCT/US99/29128,1999-12-08,?,PCT,None,None,None,,5331,000,000000,,None,IR F1401-00,218,04jan2000 18:46:56,9200,2006-03-27,,,200033801,2000-06-15,,,,PEND,MAGICALLY APPEARING STRIPED DENTIFRICE,0,0
PCT/US99/29129,1999-12-08,?,PCT,None,None,None,,5331,000,000000,,None,ORT-1009 PCT,218,12jan2000 18:46:51,9200,2006-03-27,,,200038691,2000-07-06,,,,PEND,TRIPHASIC ORAL CONTRACEPTIVE,0,0
PCT/US99/29130,1999-12-08,?,PCT,KIDWELL,MICHELE,M,95079,3761,604,378000,,None,13493,256,10nov2001 00:00:00,9200,2006-03-27,,,200033779,2000-06-15,,,,PEND,MULTI-LAYER LINERS FOR PERSONAL CARE PRODUCTS,0,0
PCT/US99/29131,1999-12-08,?,PCT,GRAVINI,STEPHEN,MICHAEL,92398,3749,034,454000,,None,13062,256,10nov2001 00:00:00,9200,2006-03-27,,,200034576,2000-06-15,,,,PEND,METHOD AND APPARATUS FOR MAKING A THROUGHDRIED TISSUE PRODUCT WITHOUT A THROUGHDRYING FABRIC,0,0
PCT/US99/29132,1999-12-08,?,PCT,RUDDOCK,ULA,CORINNA,59589,1771,442,059000,,None,13919,256,10nov2001 00:00:00,9200,2006-03-27,,,200033780,2000-06-15,,,,PEND,CREPED MATERIALS,0,0
PCT/US99/29133,1999-12-08,?,PCT,WANG,SHENGJUN,,68695,1617,514,340000,,None,52993/00002,256,10nov2001 00:00:00,9200,2006-03-27,,,200033848,2000-06-15,,,,PEND,METHODS AND COMPOSITIONS FOR PREVENTION AND TREATMENT OF RESTENOSIS WITH NON-STEROIDAL ANTI-,0,0
PCT/US99/29134,1999-12-08,?,PCT,CORBIN,ARTHUR,L,59616,1761,426,300000,,None,BASEIL 02,256,10nov2001 00:00:00,9200,2006-03-27,,,200033664,2000-06-15,,,,PEND,CHEWING GUM HAVING EXTENDED FLAVOR DURATION AND METHODS FOR MAKING SAME,0,0
PCT/US99/29135,1999-12-08,?,PCT,FORTUNA,JOSE,A,76959,1731,162,164100,,None,E-0044,275,09dec2002 00:00:00,9200,2006-03-27,,,200034581,2000-06-15,,,,PEND,POLYAMPHOLYTE COAGULANT IN THE PAPERMAKING PROCESS,0,0
PCT/US99/29136,1999-12-08,?,PCT,None,None,None,,5332,000,000000,,None,3168/1/PCT,218,05jan2000 18:45:46,9200,2006-03-27,,,200033847,2000-06-15,,,,PEND,EPLERENONE COMPOSITIONS,0,0
PCT/US99/29137,1999-12-08,?,PCT,MOHANDESI,JILA,M,95927,3728,206,249000,,None,14463,256,10nov2001 00:00:00,9200,2006-03-27,,,200033713,2000-06-15,,,,PEND,CONTAINER AND CARTRIDGE FOR DISPENSING CONTROLLED AMOUNTS OF PAPER PRODUCTS,0,0
PCT/US99/29138,1999-12-07,?,PCT,FLOOD,MICHELE,C,68300,1651,435,325000,,None,5250-0001.41,256,10nov2001 00:00:00,9200,2006-03-27,,,200034443,2000-06-15,,,,PEND,"SUSTAINED, SUBSTANTIAL EX VIVO PRODUCTION OF HEMATOPOIETIC STEM CELLS MEDIATED BY",0,0
PCT/US99/29139,1999-12-07,?,PCT,TRAN,THAI,Q,66839,2621,386,083000,,None,36571P/I148,256,10nov2001 00:00:00,9200,2006-03-27,,,200035193,2000-06-15,,,,PEND,SYSTEM AND METHOD FOR GENERATING VIDEO TAPING REMINDERS,0,0
PCT/US99/29140,1999-12-07,?,PCT,TRAN,THAI,Q,66839,2621,386,098000,,None,38645-11PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200035194,2000-06-15,,,,PEND,METHOD FOR ENCODING MULTIPLE AUDIO STREAMS,0,0
PCT/US99/29141,1999-12-07,?,PCT,None,None,None,,5332,000,000000,,None,B0932/7124WO,218,12jan2000 18:45:02,9200,2006-03-27,,,200033692,2000-06-15,,,,PEND,TONGUE STIFFENER FOR FOOTWEAR,0,0
