patent_id	citation_id	date
9269544	6172324	2016-02-23
8075732	6172324	2011-12-13
7482609	6172324	2009-01-27
6744060	6172324	2004-06-01
7378673	6172324	2008-05-27
7141806	6172324	2006-11-28
7251263	6172324	2007-07-31
7323703	6172324	2008-01-29
7291853	6172324	2007-11-06
7317196	6172324	2008-01-08
7465946	6172324	2008-12-16
7642533	6172324	2010-01-05
9117636	6172324	2015-08-25
9555145	6172324	2017-01-31
7402825	6172324	2008-07-22
7196342	6172324	2007-03-27
7589337	6172324	2009-09-15
7476887	6172324	2009-01-13
6804327	6172324	2004-10-12
7365349	6172324	2008-04-29
9450536	6349128	2016-09-20
6514865	6349128	2003-02-04
7646846	6349128	2010-01-12
8155268	6349128	2012-04-10
8769078	6349128	2014-07-01
6968038	6349128	2005-11-22
7718447	6349128	2010-05-18
9494535	6349128	2016-11-15
7302034	6349128	2007-11-27
6611576	6349128	2003-08-26
7016462	6349128	2006-03-21
8065094	6349128	2011-11-22
7420163	6349128	2008-09-02
7825391	6414438	2010-11-02
7896510	6414438	2011-03-01
6567499	6414438	2003-05-20
6563907	6414438	2003-05-13
9760008	6414438	2017-09-12
6710524	6414438	2004-03-23
7414253	6414438	2008-08-19
7251263	6414438	2007-07-31
6894298	6414438	2005-05-17
RE41362	6414438	2010-06-01
7489718	6414438	2009-02-10
6667484	6414438	2003-12-23
7215697	6414438	2007-05-08
6804327	6414438	2004-10-12
7812542	6414438	2010-10-12
6818912	6414438	2004-11-16
7541604	6414438	2009-06-02
7528395	6414438	2009-05-05
8227771	6414438	2012-07-24
7126143	6414438	2006-10-24
6998620	6414438	2006-02-14
6847044	6414438	2005-01-25
9277634	6414438	2016-03-01
7488962	6414438	2009-02-10
6826222	6414438	2004-11-30
7323701	6414438	2008-01-29
7365349	6452199	2008-04-29
7856044	6452199	2010-12-21
8526481	6452199	2013-09-03
7088758	6452199	2006-08-08
7346093	6452199	2008-03-18
8198615	6452199	2012-06-12
7489718	6452199	2009-02-10
7655925	6452199	2010-02-02
7355191	6452199	2008-04-08
6639222	6452199	2003-10-28
8227771	6452199	2012-07-24
7122816	6452199	2006-10-17
7087914	6452199	2006-08-08
7180081	6452199	2007-02-20
6809327	6452199	2004-10-26
7365351	6452199	2008-04-29
7217941	6452199	2007-05-15
7141806	6452199	2006-11-28
7002168	6452199	2006-02-21
7388220	6452199	2008-06-17
7405416	6452199	2008-07-29
8519366	6452199	2013-08-27
8075732	6452199	2011-12-13
8822948	6452199	2014-09-02
7671349	6452199	2010-03-02
8629417	6452199	2014-01-14
7247870	6452199	2007-07-24
7812329	6452199	2010-10-12
9516730	6452199	2016-12-06
7872244	6452199	2011-01-18
7732789	6452199	2010-06-08
7215697	6452199	2007-05-08
7453077	6452199	2008-11-18
7449704	6452199	2008-11-11
8461560	6452199	2013-06-11
7196342	6452199	2007-03-27
7838854	6452199	2010-11-23
7589337	6452199	2009-09-15
7449703	6452199	2008-11-11
7391468	6452199	2008-06-24
7361918	6452199	2008-04-22
7193228	6452199	2007-03-20
6888297	6452199	2005-05-03
7323703	6452199	2008-01-29
7109503	6452199	2006-09-19
7525111	6452199	2009-04-28
7733563	6452199	2010-06-08
7482609	6452199	2009-01-27
8129702	6452199	2012-03-06
7813036	6452199	2010-10-12
7378673	6452199	2008-05-27
6839372	6452199	2005-01-04
7247866	6452199	2007-07-24
7164144	6452199	2007-01-16
7317196	6452199	2008-01-08
7180083	6452199	2007-02-20
7598509	6452199	2009-10-06
7440206	6452199	2008-10-21
7465946	6452199	2008-12-16
7394083	6452199	2008-07-01
7402825	6452199	2008-07-22
7476887	6452199	2009-01-13
7439530	6452199	2008-10-21
8446928	6452199	2013-05-21
7049614	6452199	2006-05-23
7642533	6452199	2010-01-05
6826222	6452199	2004-11-30
7453630	6452199	2008-11-18
7217940	6452199	2007-05-15
7291853	6452199	2007-11-06
7732793	6452199	2010-06-08
7928417	6452199	2011-04-19
7372056	6452199	2008-05-13
6815700	6452199	2004-11-09
7737425	6452199	2010-06-15
8035092	6452199	2011-10-11
7598509	6566667	2009-10-06
7394083	6566667	2008-07-01
8618470	6566667	2013-12-31
9420678	6566667	2016-08-16
8075732	6566667	2011-12-13
8675699	6566667	2014-03-18
7476887	6566667	2009-01-13
7402825	6566667	2008-07-22
9390892	6566667	2016-07-12
7247870	6566667	2007-07-24
7135693	6566667	2006-11-14
7323703	6566667	2008-01-29
7122816	6566667	2006-10-17
7525111	6566667	2009-04-28
7193228	6566667	2007-03-20
6815700	6566667	2004-11-09
7642533	6566667	2010-01-05
8610354	6566667	2013-12-17
7589337	6566667	2009-09-15
7180083	6566667	2007-02-20
7372056	6566667	2008-05-13
7598503	6566667	2009-10-06
8265110	6566667	2012-09-11
8822948	6566667	2014-09-02
7439530	6566667	2008-10-21
7482609	6566667	2009-01-27
7609731	6566667	2009-10-27
7317196	6566667	2008-01-08
7465922	6566667	2008-12-16
7453077	6566667	2008-11-18
7872244	6566667	2011-01-18
7256407	6566667	2007-08-14
7365351	6566667	2008-04-29
6919573	6566667	2005-07-19
7088758	6566667	2006-08-08
7291853	6566667	2007-11-06
7449703	6566667	2008-11-11
8300669	6566667	2012-10-30
7217940	6566667	2007-05-15
6839372	6566667	2005-01-04
7388220	6566667	2008-06-17
9018562	6566667	2015-04-28
7450618	6566667	2008-11-11
7449704	6566667	2008-11-11
7164144	6566667	2007-01-16
7378673	6566667	2008-05-27
7109503	6566667	2006-09-19
